timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759607081399,277,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,892,236,8,8,https://fakestoreapi.com/auth/login,277,0,0
1759607081399,284,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,900,235,8,8,https://fakestoreapi.com/auth/login,284,0,0
1759607081399,283,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,898,237,8,8,https://fakestoreapi.com/auth/login,283,0,0
1759607081490,275,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,889,235,8,8,https://fakestoreapi.com/auth/login,275,0,0
1759607081590,281,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,895,241,8,8,https://fakestoreapi.com/auth/login,281,0,0
1759607081601,279,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,902,235,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607081676,276,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,896,236,8,8,https://fakestoreapi.com/auth/login,276,0,0
1759607081683,278,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,902,237,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607081684,280,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,895,235,8,8,https://fakestoreapi.com/auth/login,280,0,0
1759607081765,278,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,907,241,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607081871,274,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,898,235,8,8,https://fakestoreapi.com/auth/login,274,0,0
1759607081881,278,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,892,236,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607081952,276,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,894,237,8,8,https://fakestoreapi.com/auth/login,276,0,0
1759607081964,273,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,911,241,8,8,https://fakestoreapi.com/auth/login,273,0,0
1759607081962,282,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,895,235,8,8,https://fakestoreapi.com/auth/login,282,0,0
1759607082043,271,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,892,235,8,8,https://fakestoreapi.com/auth/login,271,0,0
1759607082145,273,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,894,236,8,8,https://fakestoreapi.com/auth/login,273,0,0
1759607082159,279,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,898,237,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607082229,279,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,899,235,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607082244,273,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,890,235,8,8,https://fakestoreapi.com/auth/login,273,0,0
1759607082237,282,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,895,241,8,8,https://fakestoreapi.com/auth/login,282,0,0
1759607082314,278,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,890,236,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607082418,273,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,898,237,8,8,https://fakestoreapi.com/auth/login,273,0,0
1759607082439,281,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,899,235,8,8,https://fakestoreapi.com/auth/login,281,0,0
1759607082508,279,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,903,241,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607082519,277,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,896,236,8,8,https://fakestoreapi.com/auth/login,277,0,0
1759607082517,285,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,892,235,8,8,https://fakestoreapi.com/auth/login,285,0,0
1759607082592,282,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,902,237,8,8,https://fakestoreapi.com/auth/login,282,0,0
1759607082692,277,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,895,235,8,8,https://fakestoreapi.com/auth/login,277,0,0
1759607082720,278,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,899,241,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607082787,274,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,898,235,8,8,https://fakestoreapi.com/auth/login,274,0,0
1759607082796,281,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,894,236,8,8,https://fakestoreapi.com/auth/login,281,0,0
1759607082802,281,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,896,237,8,8,https://fakestoreapi.com/auth/login,281,0,0
1759607082875,272,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,897,235,8,8,https://fakestoreapi.com/auth/login,272,0,0
1759607082969,273,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,897,241,8,8,https://fakestoreapi.com/auth/login,273,0,0
1759607082998,279,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,900,235,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607083061,275,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,896,236,8,8,https://fakestoreapi.com/auth/login,275,0,0
1759607083077,285,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,902,237,8,8,https://fakestoreapi.com/auth/login,285,0,0
1759607083084,281,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,893,235,8,8,https://fakestoreapi.com/auth/login,281,0,0
1759607083147,276,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,895,241,8,8,https://fakestoreapi.com/auth/login,276,0,0
1759607083242,278,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,892,235,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607083277,279,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,894,236,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607083337,280,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,902,237,8,8,https://fakestoreapi.com/auth/login,280,0,0
1759607083366,279,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,901,241,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607083363,287,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,899,235,8,8,https://fakestoreapi.com/auth/login,287,0,0
